Fri Apr 17 21:59:57 +0000 2009 	 RT @AHSchools: Champlin Park High School senior Annalise Lamberty a finalist in Harvard's "Girls Impact the World" film festival: http://t. 	  
Sun Dec 18 20:16:35 +0000 2011 	 RT @AHSchools: Champlin Park High School senior Annalise Lamberty a finalist in Harvard's "Girls Impact the World" film festival: http://t. 	 Champlin, Minnesota 
Tue Sep 22 02:06:53 +0000 2009 	 If @keithspeaksout and @ernestmorrell were in charge of the US education policy, the global achievement gap would be closed in a nanosecond. 	 Thief River Falls,Minnesota 
Tue Mar 04 17:32:21 +0000 2014 	 RT @JillGW: @MaryLouIBCLC  here are the NJ Birth to Three Early Learning Standards: http://t.co/TKMn9Qp3Bc 	  
Sun Nov 22 03:46:12 +0000 2009 	 RT @AHSchools: Champlin Park High School senior Annalise Lamberty a finalist in Harvard's "Girls Impact the World" film festival: http://t. 	  
Wed Apr 01 17:54:42 +0000 2009 	 RT @pakouher: How Finnish Schools are Trouncing the US Ed System w/ More Recess &amp; Fewer Tests. {Infographic} @elephantjournal http://t.co/C 	 my basement sewing room 
Sun Aug 02 05:07:40 +0000 2009 	 RT @AHSchools: Champlin Park High School senior Annalise Lamberty a finalist in Harvard's "Girls Impact the World" film festival: http://t. 	  
Wed Feb 01 03:50:28 +0000 2012 	 RT @AHSchools: Champlin Park High School senior Annalise Lamberty a finalist in Harvard's "Girls Impact the World" film festival: http://t. 	  
Tue Nov 12 17:34:09 +0000 2013 	 RT @AACOMmunities: We're pleased to welcome @WVSOM to #AACOM2014, along w/ other great schools joining us! #education http://t.co/oTZ7HcKDuZ 	 Lewisburg WV 
Mon Nov 07 01:44:24 +0000 2011 	 RT @AHSchools: Champlin Park High School senior Annalise Lamberty a finalist in Harvard's "Girls Impact the World" film festival: http://t. 	 Minnesota! 
Wed Nov 05 16:53:00 +0000 2008 	 'My dream is to come back with Chinese students to start degree courses with us' - Education - TES News http://t.co/eM6dZTK2BC 	 Basingstoke, Hampshire 
Mon Jun 27 01:04:18 +0000 2011 	 RT @pakouher: How Finnish Schools are Trouncing the US Ed System w/ More Recess &amp; Fewer Tests. {Infographic} @elephantjournal http://t.co/C 	  
